Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Add Listing,Chrome 70.0.3538.102,Add Listing with valid inputs,2018-11-19 14:34:39,2018-11-19 14:35:40,1m - 1.608s,PASSED
,,,,,,
Test Cases/AddListingWithExcel,Chrome 70.0.3538.102,Read input from excel sheets,2018-11-19 14:34:39,2018-11-19 14:35:07,27.601s,PASSED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(Read data for Add listing).getRowNumbers(), (row++)])",Chrome 70.0.3538.102,,2018-11-19 14:34:40,2018-11-19 14:35:07,26.894s,PASSED
,,,,,,
Test Cases/Booking Services for Customer,Chrome 70.0.3538.102,,2018-11-19 14:35:07,2018-11-19 14:35:40,32.495s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-19 14:35:07,2018-11-19 14:35:10,2.564s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-19 14:35:10,2018-11-19 14:35:18,8.499s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-19 14:35:18,2018-11-19 14:35:20,1.135s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 14:35:20,2018-11-19 14:35:20,0.230s,PASSED
clickEvent.SelectServices.clickUsingJS1,Chrome 70.0.3538.102,,2018-11-19 14:35:20,2018-11-19 14:35:22,1.918s,PASSED
scrollToPosition,Chrome 70.0.3538.102,,2018-11-19 14:35:22,2018-11-19 14:35:22,0.016s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-19 14:35:22,2018-11-19 14:35:22,0.080s,PASSED
clickEvent.SelectServices.clickUsingJS1,Chrome 70.0.3538.102,,2018-11-19 14:35:22,2018-11-19 14:35:28,6.487s,PASSED
scrollToPosition,Chrome 70.0.3538.102,,2018-11-19 14:35:28,2018-11-19 14:35:28,0.025s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 14:35:28,2018-11-19 14:35:29,0.221s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 14:35:29,2018-11-19 14:35:29,0.357s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 14:35:29,2018-11-19 14:35:29,0.207s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-19 14:35:29,2018-11-19 14:35:29,0.090s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 14:35:29,2018-11-19 14:35:29,0.129s,PASSED
waitForElementClickable,Chrome 70.0.3538.102,,2018-11-19 14:35:29,2018-11-19 14:35:29,0.104s,PASSED
takeScreenshot,Chrome 70.0.3538.102,,2018-11-19 14:35:29,2018-11-19 14:35:34,4.069s,PASSED
waitForElementClickable,Chrome 70.0.3538.102,,2018-11-19 14:35:34,2018-11-19 14:35:34,0.074s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 14:35:34,2018-11-19 14:35:34,0.159s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-19 14:35:34,2018-11-19 14:35:35,1.138s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 14:35:35,2018-11-19 14:35:35,0.243s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 14:35:35,2018-11-19 14:35:35,0.188s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 14:35:35,2018-11-19 14:35:36,0.197s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 14:35:36,2018-11-19 14:35:36,0.200s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 14:35:36,2018-11-19 14:35:36,0.177s,PASSED
scrollToElement,Chrome 70.0.3538.102,,2018-11-19 14:35:36,2018-11-19 14:35:36,0.053s,PASSED
focus,Chrome 70.0.3538.102,,2018-11-19 14:35:36,2018-11-19 14:35:36,0.119s,PASSED
waitForElementClickable,Chrome 70.0.3538.102,,2018-11-19 14:35:36,2018-11-19 14:35:36,0.038s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 14:35:36,2018-11-19 14:35:37,0.529s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-19 14:35:37,2018-11-19 14:35:37,0.074s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-19 14:35:37,2018-11-19 14:35:37,0.044s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-19 14:35:37,2018-11-19 14:35:37,0.049s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-19 14:35:37,2018-11-19 14:35:37,0.039s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 14:35:37,2018-11-19 14:35:37,0.429s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 14:35:37,2018-11-19 14:35:38,0.439s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 14:35:38,2018-11-19 14:35:38,0.126s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 14:35:38,2018-11-19 14:35:38,0.269s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 14:35:38,2018-11-19 14:35:38,0.162s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 14:35:38,2018-11-19 14:35:38,0.160s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 14:35:38,2018-11-19 14:35:39,0.290s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 14:35:39,2018-11-19 14:35:39,0.240s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 14:35:39,2018-11-19 14:35:40,0.570s,PASSED
