Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Booking Services,Chrome 70.0.3538.102,,2018-11-16 13:46:29,2018-11-16 13:47:56,1m - 26.856s,PASSED
,,,,,,
Test Cases/Booking Services for Customer,Chrome 70.0.3538.102,,2018-11-16 13:46:29,2018-11-16 13:47:10,40.340s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-16 13:46:30,2018-11-16 13:46:34,4.349s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-16 13:46:34,2018-11-16 13:46:44,9.365s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-16 13:46:44,2018-11-16 13:46:45,1.184s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 13:46:45,2018-11-16 13:46:45,0.408s,PASSED
clickEvent.SelectServices.clickUsingJS1,Chrome 70.0.3538.102,,2018-11-16 13:46:45,2018-11-16 13:46:48,2.572s,PASSED
scrollToPosition,Chrome 70.0.3538.102,,2018-11-16 13:46:48,2018-11-16 13:46:48,0.043s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-16 13:46:48,2018-11-16 13:46:48,0.154s,PASSED
clickEvent.SelectServices.clickUsingJS1,Chrome 70.0.3538.102,,2018-11-16 13:46:48,2018-11-16 13:46:52,4.109s,PASSED
scrollToPosition,Chrome 70.0.3538.102,,2018-11-16 13:46:52,2018-11-16 13:46:52,0.020s,PASSED
click,Chrome 70.0.3538.102,,2018-11-16 13:46:52,2018-11-16 13:46:52,0.283s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 13:46:52,2018-11-16 13:46:53,0.380s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 13:46:53,2018-11-16 13:46:53,0.217s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-16 13:46:53,2018-11-16 13:46:53,0.099s,PASSED
click,Chrome 70.0.3538.102,,2018-11-16 13:46:53,2018-11-16 13:46:53,0.149s,PASSED
waitForElementClickable,Chrome 70.0.3538.102,,2018-11-16 13:46:53,2018-11-16 13:46:54,0.171s,PASSED
takeScreenshot,Chrome 70.0.3538.102,,2018-11-16 13:46:54,2018-11-16 13:47:03,9.489s,PASSED
waitForElementClickable,Chrome 70.0.3538.102,,2018-11-16 13:47:03,2018-11-16 13:47:03,0.286s,PASSED
click,Chrome 70.0.3538.102,,2018-11-16 13:47:03,2018-11-16 13:47:03,0.143s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-16 13:47:03,2018-11-16 13:47:04,0.761s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 13:47:04,2018-11-16 13:47:04,0.192s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 13:47:04,2018-11-16 13:47:05,0.245s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 13:47:05,2018-11-16 13:47:05,0.518s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 13:47:05,2018-11-16 13:47:05,0.281s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 13:47:05,2018-11-16 13:47:06,0.236s,PASSED
