Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Manage Shop,Chrome 70.0.3538.102,Manage shop,2018-11-22 16:48:59,2018-11-22 16:49:24,24.581s,PASSED
,,,,,,
Test Cases/Update profile Image,Chrome 70.0.3538.102,,2018-11-22 16:49:00,2018-11-22 16:49:24,23.811s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-22 16:49:01,2018-11-22 16:49:13,12.257s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:49:13,2018-11-22 16:49:13,0.286s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-22 16:49:13,2018-11-22 16:49:15,1.143s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:49:15,2018-11-22 16:49:15,0.413s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:49:15,2018-11-22 16:49:15,0.272s,PASSED
scrollToElement,Chrome 70.0.3538.102,,2018-11-22 16:49:15,2018-11-22 16:49:15,0.119s,PASSED
clickEvent.SelectServices.clickUsingJS1,Chrome 70.0.3538.102,,2018-11-22 16:49:15,2018-11-22 16:49:16,0.152s,PASSED
clickEvent.SelectServices.clickUsingJS1,Chrome 70.0.3538.102,,2018-11-22 16:49:16,2018-11-22 16:49:16,0.126s,PASSED
clickEvent.SelectServices.clickUsingJS1,Chrome 70.0.3538.102,,2018-11-22 16:49:16,2018-11-22 16:49:19,2.992s,PASSED
uploadFile,Chrome 70.0.3538.102,,2018-11-22 16:49:19,2018-11-22 16:49:19,0.112s,PASSED
clickEvent.SelectServices.clickUsingJS1,Chrome 70.0.3538.102,,2018-11-22 16:49:19,2018-11-22 16:49:19,0.037s,PASSED
clickEvent.SelectServices.clickUsingJS1,Chrome 70.0.3538.102,,2018-11-22 16:49:19,2018-11-22 16:49:23,4.283s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-22 16:49:23,2018-11-22 16:49:24,0.721s,PASSED
